Provinsi,2018,2019,2020
ACEH,71.2,137.5,51.1
SUMATERA UTARA,1227.6,379.5,974.8
SUMATERA BARAT,180.8,157.1,125.6
RIAU,1032.9,1034.0,1078.0
JAMBI,101.9,54.6,27.0
SUMATERA SELATAN,1078.6,736.5,1543.9
BENGKULU,136.6,144.8,192.3
LAMPUNG,132.3,155.2,498.4
KEP. BANGKA BELITUNG,46.3,88.7,48.4
KEP. RIAU,831.3,1363.4,1649.4
DKI JAKARTA,4857.7,4123.0,3613.3
JAWA BARAT,5573.5,5881.0,4793.7
JAWA TENGAH,2372.7,2723.2,1363.6
DI YOGYAKARTA,81.3,14.6,9.7
JAWA TIMUR,1333.4,866.3,1575.5
BANTEN,2827.3,1868.2,2143.6
BALI,1002.5,426.0,293.3
NUSA TENGGARA BARAT,251.6,270.7,302.1
NUSA TENGGARA TIMUR,100.4,126.8,81.3
KALIMANTAN BARAT,491.9,532.3,759.3
KALIMANTAN TENGAH,678.5,283.5,177.6
KALIMANTAN SELATAN,129.2,372.9,240.8
KALIMANTAN TIMUR,587.5,861.0,378.0
KALIMANTAN UTARA,67.3,81.7,68.4
SULAWESI UTARA,295.9,220.5,155.7
SULAWESI TENGAH,672.4,1805.0,1779.0
SULAWESI SELATAN,617.2,302.6,236.1
SULAWESI TENGGARA,672.9,987.7,1268.6
GORONTALO,40.8,171.3,67.6
SULAWESI BARAT,24.7,10.1,6.5
MALUKU,8.0,33.0,176.7
MALUKU UTARA,362.8,1008.5,2409.0
PAPUA BARAT,286.9,46.2,10.6
PAPUA,1132.3,941.0,567.7
